import time: self [us] | cumulative | imported package
import time:      3463 |       3463 |                 cloudpickle.cloudpickle
import time:       442 |       3905 |               cloudpickle
import time:       458 |        458 |               dask.core
import time:       211 |        211 |                 cityhash
import time:      1242 |       1242 |                   xxhash._xxhash
import time:       275 |        275 |                   xxhash.version
import time:       404 |       1920 |                 xxhash
import time:       813 |        813 |                 mmh3
import time:       319 |       3261 |               dask.hashing
import time:       736 |      18669 |             dask.tokenize
import time:      1164 |     130112 |           dask._expr
import time:       320 |        320 |           dask._version
import time:       526 |        526 |               concurrent
import time:       841 |        841 |               concurrent.futures._base
import time:       384 |       1751 |             concurrent.futures
import time:       804 |        804 |                 _queue
import time:       551 |       1354 |               queue
import time:       356 |        356 |               dask.callbacks
import time:       664 |        664 |               dask.order
import time:       471 |       2844 |             dask.local
import time:        66 |         66 |                 pwd
import time:      1049 |       1049 |                 psutil._common
import time:      2197 |       2197 |                 psutil._ntuples
import time:      1279 |       1279 |                     glob
import time:      1018 |       1018 |                     psutil._psutil_osx
import time:      1265 |       3561 |                   psutil._psposix
import time:      1042 |       4603 |                 psutil._psosx
import time:      2064 |       9977 |               psutil
import time:       437 |      10413 |             dask.system
import time:       624 |        624 |                 multiprocessing.util
import time:       878 |        878 |                   _multiprocessing
import time:       195 |        195 |                   _winapi
import time:       761 |       1833 |                 multiprocessing.connection
import time:       884 |       3341 |               multiprocessing.pool
import time:       593 |        593 |               concurrent.futures.thread
import time:       366 |       4299 |             dask.threaded
import time:       510 |        510 |                 multiprocessing.queues
import time:       508 |       1018 |               concurrent.futures.process
import time:       601 |        601 |               dask.optimization
import time:      2659 |       2659 |                 tblib
import time:       432 |       3091 |               tblib.pickling_support
import time:       916 |       5624 |             dask.multiprocessing
import time:       678 |      25606 |           dask.base
import time:       318 |        318 |             dask.context
import time:    185251 |     185251 |                 html.entities
import time:      1847 |     187098 |               html
import time:       654 |        654 |                     jinja2.bccache
import time:      1182 |       1182 |                         markupsafe._speedups
import time:       785 |       1966 |                       markupsafe
import time:     13115 |      13115 |                         jinja2.utils
import time:      3348 |      16462 |                       jinja2.nodes
import time:       701 |        701 |                         jinja2.exceptions
import time:       377 |        377 |                           jinja2.visitor
import time:      1431 |       1807 |                         jinja2.idtracking
import time:       339 |        339 |                         jinja2.optimizer
import time:      3002 |       5848 |                       jinja2.compiler
import time:       612 |        612 |                           jinja2.async_utils
import time:      1756 |       1756 |                           jinja2.runtime
import time:      9830 |      12198 |                         jinja2.filters
import time:       576 |        576 |                         jinja2.tests
import time:       373 |      13146 |                       jinja2.defaults
